歌名,歌手,曲风,推荐标签,语种,BPM,乐评
窗边的云,曹思义、,流行、轻音乐、,平静、放松、,纯音乐,75,
雨巷,刘嘉卓、,流行-器乐流行、,平静、放松、,纯音乐,65,
仲夏夜梦,星愿乌克丽丽乐团、,,,纯音乐,,
Careless Whisper,Alexandr Misko、,新世纪、,放松、,纯音乐,77,
Birthday,押尾コータロー、,流行-日本流行、,悲伤、放松、孤独、,纯音乐,152,
Fly Away,郑晟河、,轻音乐、,放松、抒情、,纯音乐,123,
大城小事（Guitar Version）,康硕Kenny、,轻音乐、,放松、冥想、,纯音乐,119,
Message,押尾コータロー、,流行-日本流行、,清新、放松、,纯音乐,106,
夕凪,押尾コータロー、,流行-日本流行、,放松、,纯音乐,149,
teardrop,押尾コータロー、,流行-日本流行、,放松、治愈、KTV、,纯音乐,116,
ガール・フレンド,押尾コータロー、,流行-日本流行、,放松、,纯音乐,121,
碧い夢,押尾コータロー、,流行-日本流行、,悲伤、抑郁、,纯音乐,135,
鲁迅先生,郎文硕、,流行、,,纯音乐,76,
Burn - Acoustic Guitar Cover,The Man on Guitar、,,放松、清新、,纯音乐,,
Wu Wei,Pierre Bensusan、,轻音乐、,抒情、放松、,纯音乐,95,
星空冥想 Night Sky Meditation,宋依凡（Ivan Song）、,,抒情、悲伤、,纯音乐,,
旅途的时光 Time On Safari,宋依凡（Ivan Song）、,流行、,抒情、放松、,纯音乐,,
寂静的天空 Silent Sky,宋依凡（Ivan Song）、,,冥想、放松、,纯音乐,57,
"Dracula and Friends, Pt. One",Don Ross、,爵士、,,纯音乐,,
静夏的夜,杨昊昆、,民谣、,平静、放松、,纯音乐,,
六弦阁主,杨昊昆、,,放松、平静、,,109,
eternal moment,yutaka hirasaka、,轻音乐、,梦幻、快乐、放松、轻快、,纯音乐,93,
Kokoro,井草圣二、,,放松、,纯音乐,76,
Talk,Antoine Dufour、,原声带-游戏原声、,,,,
Home,Will McNicol、,民谣、,清新、放松、,纯音乐,156,
The Wake Up,Will McNicol、,轻音乐、,清新、放松、学习、助眠、,纯音乐,131,
Thank You For...,岸部眞明、,轻音乐、,清新、幸福、快乐、放松、治愈、助眠、轻快、,纯音乐,136,
On the Hill,Daniel Padim、,古典、,抒情、梦幻、放松、,纯音乐,133,
Feeling Higher,Daniel Padim、,,快乐、放松、,纯音乐,109,
Waiting for You,Daniel Padim、,流行-器乐流行、,快乐、放松、,纯音乐,72,
一直很安静（指弹吉他改编）,侠客行、,流行、,抒情、放松、,纯音乐,97,
葬红颜,杨昊昆、,民谣、,悲伤、孤独、抒情、,纯音乐,,
星海仲夏夜,杨昊昆、,流行-器乐流行、,平静、放松、,纯音乐,,
Lemon (Acoustic Guitar ver.),孙培博、,流行、,平静、放松、,纯音乐,77,
ひとり,DEPAPEKO、,,清新、放松、,纯音乐,154,
