歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Cupid's Curse (feat. Kehlani),Phora、Kehlani、,节奏布鲁斯、,抒情、动感、,英语,55,
Heartless,The Weeknd、,节奏布鲁斯-当代节奏布鲁斯、,动感、放松、,英语,84,
Coworker,Aa$h、,节奏布鲁斯-灵魂乐、,活力、动感、,英语,,
We Belong Together,Mariah Carey、,节奏布鲁斯-当代节奏布鲁斯、,抒情、动感、慵懒、放松、,英语,139,
AreUThere?,Flow3rs、Akemi Elise、,节奏布鲁斯-灵魂乐、,,英语,121,
F&MU,Kehlani、,节奏布鲁斯-嘻哈灵魂乐、,动感、,英语,76,
Bicol,Phil Q.、,节奏布鲁斯-灵魂乐、,梦幻、放松、轻快、快乐、,英语,87,
Good Love 2.0,Priya Ragu、,节奏布鲁斯-灵魂乐、,动感、活力、,英语,107,
All The Squares,Sargent Tucker、,节奏布鲁斯-灵魂乐、,快乐、动感、活力、,英语,111,
I'm Not Meant to Break,Acacia Grace、,节奏布鲁斯-灵魂乐、,快乐、幸福、放松、活力、动感、,,78,
Lady Marmalade,Christina Aguilera、P!nk、Mya、Lil' Kim、,原声带-电影原声、节奏布鲁斯-当代节奏布鲁斯、,动感、快乐、KTV、舞蹈、,英语,110,
Calling All Ladies,Eddie F、Miss Jones、,节奏布鲁斯-灵魂乐、,动感、活力、快乐、轻快、,英语,106,
24K Magic,Bruno Mars、,节奏布鲁斯-放克、,热血、动感、快乐、活力、放松、KTV、夜店、婚礼、轻快、洒脱、正能量、极限运动、举铁、,英语,105,
Have Mercy,Chlöe、,节奏布鲁斯-当代节奏布鲁斯、,动感、快乐、活力、,英语,130,
On My Mama,Victoria Monét、,节奏布鲁斯、,悲伤、动感、爱情、快乐、,英语,77,
Don't Waste My Time,Usher、Ella Mai、,节奏布鲁斯-另类节奏布鲁斯、,动感、爱情、浪漫、,英语,100,
Spotlight,Jennifer Hudson、,节奏布鲁斯-当代节奏布鲁斯、,动感、舞蹈、,英语,108,
"One, Two Step",Ciara、Missy Elliott、,节奏布鲁斯、,动感、,英语,113,
Shackles (Praise You),Mary Mary、,,动感、活力、,英语,,
Long Way 2 Go,Cassie、,节奏布鲁斯、,动感、活力、,英语,106,
Simmer,Mahalia、Burna Boy、,节奏布鲁斯-灵魂乐、,动感、,英语,124,
FREEDOM,Jon Batiste、,节奏布鲁斯、,快乐、,英语,115,
Gone,Kiana Ledé、Bryson Tiller、,节奏布鲁斯、,动感、放松、,英语,103,
Float (feat. Seun Kuti & Egypt 80),Janelle Monáe、Seun Kuti、Egypt 80、,节奏布鲁斯、,动感、快乐、放松、,英语,125,
Guess,Lucky Daye、,节奏布鲁斯、,动感、慵懒、放松、,英语,167,
Love Like This,Faith Evans、,节奏布鲁斯、,动感、快乐、爱情、浪漫、活力、,英语,102,
Family Affair,Mary J. Blige、,节奏布鲁斯、,动感、放松、快乐、婚礼、,英语,93,
Case Of The Ex (Whatcha Gonna Do),Mya、,节奏布鲁斯、,动感、活力、,英语,,
One Night Only,Sonder、,节奏布鲁斯、,爱情、,英语,121,
Hrs & Hrs,Muni Long、,节奏布鲁斯、,动感、活力、,英语,69,
Don't Mess With My Man,Lucy Pearl、,节奏布鲁斯、,可爱、快乐、放松、,英语,,
More Than A Woman,Aaliyah、,节奏布鲁斯、,活力、动感、快乐、,英语,117,
Return Of The Mack,Mark Morrison、,节奏布鲁斯-当代节奏布鲁斯、,动感、活力、,英语,95,
Only U (No Intro),Ashanti、,节奏布鲁斯、,动感、慵懒、放松、,英语,,
No Plans for Love,D-Nice、Ne-Yo、Kent Jones、,节奏布鲁斯、,动感、快乐、,英语,109,
Breathe (Feat. Sean Paul),Blu Cantrell、,节奏布鲁斯、,KTV、动感、浪漫、爱情、慵懒、放松、,英语,,
Have It All,Xian Bell、Dende、,节奏布鲁斯、,慵懒、放松、,英语,119,
1 Thing (Radio Edit),Amerie、,节奏布鲁斯、,动感、可爱、快乐、,英语,135,
"Jumpin', Jumpin'",Destiny's Child、,节奏布鲁斯、,动感、活力、,英语,120,
"Pavane pour une infante défunte, M. 19",Alain Lefèvre、,古典-二十世纪音乐、,平静、放松、学习、冥想、,,133,
"Concerto No.5 in F minor, BWV 1056:II. Largo",Columbia Symphony Orchestra、Glenn Gould、,古典、,平静、放松、冥想、,纯音乐,,
"Pelléas et Mélisande, Op.80:Sicilienne",Neville Marriner、Academy of St. Martin in the Fields、,古典-浪漫主义音乐、,放松、,纯音乐,90,
"3 Romanze, Op. 94: No. 1, Nicht schnell (Arr. per Flauto e Pianoforte)",Federico Vallerga、,轻音乐、,学习、冥想、放松、平静、,意大利语,,
4 Pictures for Piano Duet:No. 2. Quite slow and thoughtful,Murray McLachlan、,古典、,平静、放松、治愈、学习、,,,
"Hommage à Mozart:II. Singing, sostenuto, dreamish",Nils Mönkemeyer、William Youn、,古典、,平静、放松、冥想、,纯音乐,122,
Seven Days Walking / Day 1:Ascent,Ludovico Einaudi、,古典-当代古典音乐、,平静、放松、学习、冥想、,纯音乐,89,
Through The Blue,Roger Eno、,古典-古典跨界、,平静、放松、冥想、,纯音乐,150,
"Piano Concerto in A Minor, Op. 16: II. Adagio",Claudio Arrau、Edvard Grieg、Concertgebouworkest、Christoph von Dohnányi、,古典、,放松、冥想、,德语,,
"Piano Sonata No.16 in C, K.545 ""Sonata facile"":2. Andante",内田光子、,古典-古典主义音乐、,,纯音乐,,
Frühlingsglaube (Arr. Franz Liszt),Daniil Trifonov、,古典、,平静、放松、学习、冥想、,,129,
"2 Aquarelles:Lento, ma non troppo",David Lloyd-Jones、Northern Sinfonia、,古典-二十世纪音乐、,梦幻、放松、冥想、,英语,,
"Violin Sonata No. 2 in A Minor, BWV 1003: I. Grave",Midori、Johann Sebastian Bach、,古典、,悲伤、可爱、快乐、放松、学习、,,132,
"Rêverie, L. 68:Rêverie",Jean-yves Thibaudet、Claude Debussy、,古典、,平静、梦幻、放松、治愈、冥想、,纯音乐,115,
3 Pieces in Old Style:No. 1. Aria,Antoni Wit、Warsaw Philharmonic Chamber Orchestra、,古典-当代古典音乐、,热血、动感、梦幻、放松、冥想、,纯音乐,,
"Ravel: Pavane pour une infante défunte, M. 19",Alexandra Kouznetsova、Pyotr Kondrashin、Tatyana Michkol、,古典、,平静、放松、学习、,纯音乐,113,
La Vierge / Scene 4: The Assumption:Le dernier sommeil de la Vièrge (The Last Sleep of the Virgin),The New Symphony Orchestra Of London、Raymond Agoult、,古典-浪漫主义音乐、,放松、助眠、冥想、,欧美,,
"12 Gedichte aus Liebesfrühling, Op. 37: No. 11: Warum willst du andre fragen (Arr. Lenaerts & Grammenos)",Anneleen Lenaerts、Dionysis Grammenos、,古典、,放松、学习、冥想、,英语,,
Avril 14th (Aphex Twin) (Vanessa Wagner Version),Murcof、Vanessa Wagner、,古典-古典跨界、,平静、放松、冥想、,英语,,
"Adagio (After Bach's Violin Concerto No. 2, BWV 1042)",Gabriela Montero、,古典、,平静、放松、学习、,纯音乐,140,
"Fauré: Pavane, Op. 50",Masayuki Kawaguchi、松本吉夫、,世界音乐、古典、,平静、放松、冥想、,,,
El cant dels ocells (Song of the Birds) (version for cello and orchestra),Harriet Krijgh、Rhine Philharmonic State Orchestra、Gustavo Gimeno、,古典-浪漫主义音乐、古典-二十世纪音乐、,梦幻、放松、学习、冥想、,英语,,
"Abendlied, Op. 85 No. 12 (Arr. Grosvenor)",Benjamin Grosvenor、Robert Schumann、,古典、,平静、放松、冥想、,,93,
"Goldberg Variations, BWV 988: Aria",朱晓玫、,古典-巴洛克音乐、,平静、放松、学习、助眠、冥想、,纯音乐,93,
6 Encores for Piano: III. Wasserklavier,Andrea Lucchesini、,轻音乐、,平静、放松、,,,
"Prelude in B Minor, BWV 855a",James Rhodes、Johann Sebastian Bach、Alexander Siloti、,古典、,平静、放松、,英语,,
"12 Songs, Op. 21:V. Lilacs (Transcr. Rachmaninoff for Solo Piano)",Sergei Babayan、,古典、,平静、放松、冥想、,纯音乐,128,
"Carnaval, Op. 9:No. 5. Eusebius",Boris Giltburg、,古典-浪漫主义音乐、,学习、平静、放松、冥想、,英语,,
"Sechs Klavierstücke, Op. 118:II. Intermezzo in A Major",Arcadi Volodos、,古典、,平静、放松、学习、冥想、,纯音乐,80,
"An Unwelcome Friend (From ""The Hours"")",Nicolas Horvath、,轻音乐、,平静、放松、冥想、梦幻、搞笑、,,,
Five Pieces for violin and piano (2004):I. Elegia (Andante Larghetto),Duo Gazzana、,古典-二十世纪音乐、,平静、放松、,纯音乐,123,
"Goldberg Variations, BWV 988:Variation 7 a 1 ovvero 2 Clav. Al tempo di Giga",Glenn Gould、,古典-巴洛克音乐、,平静、放松、,纯音乐,154,
"Cello Sonata, FP 143:II. Cavatine",Bernhard Albrecht、Daniel Müller-Schott、Klemens Kamp、Oswald Beaujean、Robert Kulek、,古典-二十世纪音乐、,平静、放松、学习、,英语,133,
"wind whispers, Op. 85:II. floating leaf",William Youn、,古典、,平静、放松、冥想、,,180,
A Little Book of Hours: VI. Singing Sun,Peter Sculthorpe、Tamara-Anna Cislowska、,,学习、平静、放松、冥想、,英语,,
