歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Mystery,Beast、,流行-韩国流行、,热血、动感、活力、,韩语,129,
아직은,Beast、,流行-韩国流行、,动感、,韩语,,
Oasis,Beast、,流行-韩国流行、,动感、,韩语,139,
Gasoline,JinuSean、,流行-韩国流行、,动感、爱情、浪漫、活力、,韩语,,
내가,JinuSean、,流行-韩国流行、,,韩语,,
Celebrate,JinuSean、,流行-韩国流行、,抒情、爱情、,韩语,,
미행,JinuSean、,流行-韩国流行、,动感、活力、,韩语,,
서로,JinuSean、,流行-韩国流行、,动感、活力、,韩语,,
Ooh La-La!,少女时代、,流行-韩国流行、,动感、可爱、快乐、,韩语,158,
Baby Baby,少女时代、,流行-韩国流行、,动感、快乐、活力、,韩语,96,
Complete,少女时代、,流行-韩国流行、,抒情、悲伤、思念、KTV、,韩语,163,
Kissing You,少女时代、,流行-韩国流行、,可爱、快乐、放松、,韩语,117,
Merry-go-round,少女时代、,流行-韩国流行、,抒情、幸福、快乐、放松、KTV、,韩语,101,
그대를 부르면 (Tears),少女时代、,流行-韩国流行、,抒情、悲伤、KTV、,韩语,134,
Tinkerbell,少女时代、,流行-韩国流行、,抒情、幸福、可爱、快乐、KTV、,韩语,101,
Honey (소원),少女时代、,流行-韩国流行、,可爱、快乐、放松、,韩语,106,
다시 만난 세계 (Into the New World),少女时代、,流行-韩国流行、,动感、可爱、快乐、,韩语,109,
For Muzik,4MINUTE、,电子、,动感、活力、放松、,韩语,150,
MUZIK,4MINUTE、,电子、,快乐、动感、活力、,韩语,125,
Hot Issue,4MINUTE、,流行-韩国流行、,动感、活力、夜店、,韩语,128,
What a girl wants,4MINUTE、,流行-韩国流行、,动感、活力、,韩语,107,
웃겨 (Funny),4MINUTE、,流行、,活力、动感、,韩语,,
안줄래,4MINUTE、,流行-韩国流行、,动感、活力、,韩语,,
Trouble Maker,Trouble Maker、,流行-韩国流行、,动感、快乐、活力、夜店、轻快、舞蹈、极限运动、有氧、驾车、家务、,韩语,114,
듣기 싫은 말,Trouble Maker、,流行-韩国流行、,可爱、快乐、放松、,韩语,99,
아무렇지 않니,Trouble Maker、,流行-韩国流行、,动感、,韩语,84,
거짓말,BIGBANG、,流行-韩国流行、嘻哈说唱-流行说唱、,抒情、动感、快乐、活力、,韩语,123,
없는 번호,BIGBANG、,流行-韩国流行、,动感、活力、,韩语,115,
아무렇지 않은 척,T.O.P、,流行-韩国流行、,抒情、动感、活力、,韩语,85,
Oh Ma Baby,BIGBANG、,流行-韩国流行、,甜蜜、动感、爱情、活力、,韩语,84,
Always,BIGBANG、,流行-韩国流行、,抒情、动感、活力、,韩语,115,
내가 제일 잘 나가,2NE1、,流行-韩国流行、嘻哈说唱-韩语说唱、,动感、快乐、活力、有氧、,韩语,127,
UGLY,2NE1、,流行、,抒情、,韩语,127,
Lonely,2NE1、,流行-韩国流行、,抒情、KTV、,韩语,95,
Hate You,2NE1、,流行-韩国流行、,动感、,韩语,125,
Don't Stop The Music,2NE1、,流行-韩国流行、,快乐、轻快、舞蹈、,韩语,120,
Miracle,SUPER JUNIOR、,流行-韩国流行、,动感、爱情、浪漫、活力、,韩语,100,
Twins (Knock Out),SUPER JUNIOR、,流行-韩国流行、,,韩语,175,
You Are The One,SUPER JUNIOR、,流行-韩国抒情歌曲、,抒情、动感、快乐、,韩语,138,
Rock This House,SUPER JUNIOR、,流行-韩国流行、,动感、活力、KTV、,韩语,102,
차근차근 (Way For Love),SUPER JUNIOR、,流行-韩国流行、,动感、可爱、快乐、,韩语,111,
So I,SUPER JUNIOR、,流行-韩国流行、,抒情、悲伤、,韩语,135,
Over,SUPER JUNIOR、,流行-韩国流行、,动感、活力、,韩语,101,
Keep In Touch,SUPER JUNIOR、,流行-韩国流行、,热血、动感、活力、,韩语,143,
L.O.V.E.,SUPER JUNIOR、,流行-韩国流行、,热血、动感、活力、,韩语,106,
Believe,SUPER JUNIOR、,流行-韩国流行、,抒情、悲伤、,韩语,113,
HUG,东方神起、,流行-韩国流行、,动感、爱情、浪漫、放松、,韩语,109,
My Little Princess,东方神起、,流行-韩国流行、,动感、爱情、慵懒、浪漫、放松、,韩语,68,
My Little Princess(Acappella),东方神起、,流行-韩国流行、,动感、慵懒、放松、,韩语,,
HUG (instrumental),东方神起、,流行-韩国流行、,快乐、爱情、浪漫、,纯音乐,111,
I'm Your Girl,S.E.S.、,流行-韩国流行、,热血、动感、可爱、快乐、活力、放松、KTV、,韩语,101,
"Oh, My Love",S.E.S.、,流行-韩国流行、,可爱、快乐、放松、,韩语,,
Nonsense,S.E.S.、,流行-韩国流行、,动感、活力、KTV、,韩语,,
Dejavu,S.E.S.、,流行-韩国流行、,动感、可爱、快乐、,韩语,,
Good-bye,S.E.S.、,流行-韩国流行、,动感、,韩语,,
완전한 이유,S.E.S.、,流行-韩国流行、,爱情、浪漫、KTV、,韩语,,
친구,S.E.S.、,流行-韩国流行、,可爱、快乐、放松、KTV、,韩语,98,
ROCK'n 나라,S.E.S.、,流行-韩国流行、,动感、可爱、快乐、,日语,,
오늘이 지나면,S.E.S.、,流行-韩国流行、,可爱、快乐、放松、,韩语,,
그대의 향기,S.E.S.、,流行-韩国流行、,动感、KTV、,韩语,,
365 FRESH,Triple H、,流行-韩国流行、嘻哈说唱-韩语说唱、,动感、KTV、舞蹈、极限运动、,韩语,107,
INVU,太妍、,电子、,动感、梦幻、爱情、慵懒、活力、放松、,韩语,107,
Bad Decisions,Benny Blanco、BTS (防弹少年团)、Snoop Dogg、,嘻哈说唱-流行说唱、,动感、快乐、活力、,英语,120,
LIES,BIGBANG、,流行、,活力、动感、,韩语,123,
Power Up,Red Velvet、,流行-韩国流行、,动感、活力、舞蹈、,韩语,80,
